dicNivEFD_C|005|
0000|0|0000|
0001|1|0000|
0035|2|0000|
0100|2|0001|
0110|2|0001|
0111|3|0110|
0120|2|0001|
0140|2|0001|
0145|3|0140|
0150|3|0140|
0190|3|0140|
0200|3|0140|
0205|4|0200|
0206|4|0200|
0208|4|0200|
0400|3|0140|
0450|3|0140|
0500|2|0001|
0600|2|0001|
0990|1|0000|
A001|1|0000|
A010|2|A001|
A100|3|A010|
A110|4|A100|
A111|4|A100|
A120|4|A100|
A170|4|A100|
A990|1|0000|
C001|1|0000|
C010|2|C001|
C100|3|C010|
C110|4|C100|
C111|4|C100|
C120|4|C100|
C170|4|C100|
C175|4|C100|
C180|3|C010|
C181|4|C180|
C185|4|C180|
C188|4|C180|
C190|3|C010|
C191|4|C190|
C195|4|C190|
C198|4|C190|
C199|4|C190|
C380|3|C010|
C381|4|C380|
C385|4|C380|
C395|3|C010|
C396|4|C395|
C400|3|C010|
C405|4|C400|
C481|5|C405|
C485|5|C405|
C489|4|C400|
C490|3|C010|
C491|4|C490|
C495|4|C490|
C499|4|C490|
C500|3|C010|
C501|4|C500|
C505|4|C500|
C509|4|C500|
C600|3|C010|
C601|4|C600|
C605|4|C600|
C609|4|C600|
C800|3|C010|
C810|4|C800|
C820|4|C800|
C830|4|C800|
C860|3|C010|
C870|4|C860|
C880|4|C860|
C890|4|C860|
C990|1|0000|
D001|1|0000|
D010|2|D001|
D100|3|D010|
D101|4|D100|
D105|4|D100|
D111|4|D100|
D200|3|D010|
D201|4|D200|
D205|4|D200|
D209|4|D200|
D300|3|D010|
D309|4|D300|
D350|3|D010|
D359|4|D350|
D500|3|D010|
D501|4|D500|
D505|4|D500|
D509|4|D500|
D600|3|D010|
D601|4|D600|
D605|4|D600|
D609|4|D600|
D990|1|0000|
F001|1|0000|
F010|2|F001|
F100|3|F010|
F111|4|F100|
F120|3|F010|
F129|4|F120|
F130|3|F010|
F139|4|F130|
F150|3|F010|
F200|3|F010|
F205|4|F200|
F210|4|F200|
F211|4|F200|
F500|3|F010|
F509|4|F500|
F510|3|F010|
F519|4|F510|
F525|3|F010|
F550|3|F010|
F559|4|F550|
F560|3|F010|
F569|4|F560|
F600|3|F010|
F700|3|F010|
F800|3|F010|
F990|1|0000|
I001|1|0000|
I010|2|I001|
I100|3|I010|
I200|4|I100|
I299|4|I100|
I300|5|I299|
I399|5|I299|
I990|1|0000|
M001|1|0000|
M100|2|M001|
M105|3|M100|
M110|3|M100|
M115|4|M110|
M200|2|M001|
M205|3|M200|
M210|3|M200|
M211|4|M210|
M215|4|M210|
M220|4|M210|
M225|5|M220|
M230|4|M210|
M300|2|M001|
M350|2|M001|
M400|2|M001|
M410|3|M400|
M500|2|M001|
M505|3|M500|
M510|3|M500|
M515|4|M510|
M600|2|M001|
M605|3|M600|
M610|3|M600|
M611|4|M610|
M615|4|M610|
M620|4|M610|
M625|4|M620|
M700|2|M001|
M630|4|M610|
M800|2|M001|
M810|3|M800|
M990|1|0000|
P001|1|0000|
P010|2|P001|
P100|3|P010|
P110|4|P100|
P199|4|P100|
P200|2|P001|
P210|3|P200|
P990|1|0000|
1001|1|0000|
1010|2|1001|
1020|2|1001|
1050|2|1001|
1100|2|1001|
1101|3|1100|
1102|4|1101|
1200|2|1001|
1210|3|1200|
1220|3|1200|
1300|2|1001|
1500|2|1001|
1501|3|1500|
1502|4|1501|
1600|2|1001|
1610|3|1600|
1620|3|1600|
1700|2|1001|
1800|2|1001|
1809|3|1800|
1900|2|1001|
1990|1|0000|
9001|1|0000|
9900|2|9001|
9990|1|0000|
9999|0|9999|
