DATA_REF|Valor|
2001_02|229,52|
2001_03|228,5|
2001_04|227,24|
2001_05|226,05|
2001_06|224,71|
2001_07|223,44|
2001_08|221,94|
2001_09|220,34|
2001_10|219,02|
2001_11|217,49|
2001_12|216,1|
2002_01|214,71|
2002_02|213,18|
2002_03|211,93|
2002_04|210,56|
2002_05|209,08|
2002_06|207,67|
2002_07|206,34|
2002_08|204,8|
2002_09|203,36|
2002_10|201,98|
2002_11|200,33|
2002_12|198,79|
2003_01|197,05|
2003_02|195,08|
2003_03|193,25|
2003_04|191,47|
2003_05|189,6|
2003_06|187,63|
2003_07|185,77|
2003_08|183,69|
2003_09|181,92|
2003_10|180,24|
2003_11|178,6|
2003_12|177,26|
2004_01|175,89|
2004_02|174,62|
2004_03|173,54|
2004_04|172,16|
2004_05|170,98|
2004_06|169,75|
2004_07|168,52|
2004_08|167,23|
2004_09|165,94|
2004_10|164,69|
2004_11|163,48|
2004_12|162,23|
2005_01|160,75|
2005_02|159,37|
2005_03|158,15|
2005_04|156,62|
2005_05|155,21|
2005_06|153,71|
2005_07|152,12|
2005_08|150,61|
2005_09|148,95|
2005_10|147,45|
2005_11|146,04|
2005_12|144,66|
2006_01|143,19|
2006_02|141,76|
2006_03|140,61|
2006_04|139,19|
2006_05|138,11|
2006_06|136,83|
2006_07|135,65|
2006_08|134,48|
2006_09|133,22|
2006_10|132,16|
2006_11|131,07|
2006_12|130,05|
2007_01|129,06|
2007_02|127,98|
2007_03|127,11|
2007_04|126,06|
2007_05|125,12|
2007_06|124,09|
2007_07|123,18|
2007_08|122,21|
2007_09|121,22|
2007_10|120,42|
2007_11|119,49|
2007_12|118,65|
2008_01|117,81|
2008_02|116,88|
2008_03|116,08|
2008_04|115,24|
2008_05|114,34|
2008_06|113,46|
2008_07|112,5|
2008_08|111,43|
2008_09|110,41|
2008_10|109,31|
2008_11|108,13|
2008_12|107,11|
2009_01|105,99|
2009_02|104,94|
2009_03|104,08|
2009_04|103,11|
2009_05|102,27|
2009_06|101,5|
2009_07|100,74|
2009_08|99,95|
2009_09|99,26|
2009_10|98,57|
2009_11|97,88|
2009_12|97,22|
2010_01|96,49|
2010_02|95,83|
2010_03|95,24|
2010_04|94,48|
2010_05|93,81|
2010_06|93,06|
2010_07|92,27|
2010_08|91,41|
2010_09|90,52|
2010_10|89,67|
2010_11|88,86|
2010_12|88,05|
2011_01|87,12|
2011_02|86,26|
2011_03|85,42|
2011_04|84,5|
2011_05|83,66|
2011_06|82,67|
2011_07|81,71|
2011_08|80,74|
2011_09|79,67|
2011_10|78,73|
2011_11|77,85|
2011_12|76,99|
2012_01|76,08|
2012_02|75,19|
2012_03|74,44|
2012_04|73,62|
2012_05|72,91|
2012_06|72,17|
2012_07|71,53|
2012_08|70,85|
2012_09|70,16|
2012_10|69,62|
2012_11|69,01|
2012_12|68,46|
2013_01|67,91|
2013_02|67,31|
2013_03|66,82|
2013_04|66,27|
2013_05|65,66|
2013_06|65,06|
2013_07|64,45|
2013_08|63,73|
2013_09|63,02|
2013_10|62,31|
2013_11|61,5|
2013_12|60,78|
2014_01|59,99|
2014_02|59,14|
2014_03|58,35|
2014_04|57,58|
2014_05|56,76|
2014_06|55,89|
2014_07|55,07|
2014_08|54,12|
2014_09|53,25|
2014_10|52,34|
2014_11|51,39|
2014_12|50,55|
2015_01|49,59|
2015_02|48,65|
2015_03|47,83|
2015_04|46,79|
2015_05|45,84|
2015_06|44,85|
2015_07|43,78|
2015_08|42,6|
2015_09|41,49|
2015_10|40,38|
2015_11|39,27|
2015_12|38,21|
2016_01|37,05|
2016_02|35,99|
2016_03|34,99|
2016_04|33,83|
2016_05|32,77|
2016_06|31,66|
2016_07|30,5|
2016_08|29,39|
2016_09|28,17|
2016_10|27,06|
2016_11|26,01|
2016_12|24,97|
2017_01|23,85|
2017_02|22,76|
2017_03|21,89|
2017_04|20,84|
2017_05|20,05|
2017_06|19,12|
2017_07|18,31|
2017_08|17,51|
2017_09|16,71|
2017_10|16,07|
2017_11|15,43|
2017_12|14,86|
2018_01|14,32|
2018_02|13,74|
2018_03|13,27|
2018_04|12,74|
2018_05|12,22|
2018_06|11,7|
2018_07|11,18|
2018_08|10,64|
2018_09|10,07|
2018_10|9,6|
2018_11|9,06|
2018_12|8,57|
2019_01|8,08|
2019_02|7,54|
2019_03|7,05|
2019_04|6,58|
2019_05|6,06|
2019_06|5,52|
2019_07|5,05|
2019_08|4,48|
2019_09|3,98|
2019_10|3,52|
2019_11|3,04|
2019_12|2,66|
2020_01|2,29|
2020_02|1,91|
2020_03|1,62|
2020_04|1,28|
2020_05|1|
